Netid, Fid, DS_FF_xi_05_epsilon_e-6_c_5
7, 2, 1673894
7, 3, 23284
7, 1, 28664
7, 0, 1250819
21, 1, 24736
21, 3, 17793
21, 5, 288221
21, 4, 468740
21, 2, 14788
21, 0, 11662
11, 6, 1661351
11, 0, 1480792
11, 4, 1465743
11, 1, 1378428
11, 2, 16010
11, 3, 1125934
11, 8, 15780
11, 7, 1802506
11, 5, 1524654
20, 5, 11687994
20, 2, 1830017
20, 4, 1829616
20, 10, 1071313
20, 3, 3712413
20, 7, 16010
20, 0, 306816
20, 11, 64581
20, 8, 472588
20, 6, 47068
20, 12, 306045
20, 1, 1544782
20, 9, 3691153
23, 7, 37250
23, 9, 24025
23, 12, 2863248
23, 3, 18084
23, 5, 36408
23, 2, 31249
23, 0, 12784
23, 10, 292690
23, 6, 288612
23, 11, 19797
23, 8, 1461986
23, 1, 1989327
23, 4, 2843260
33, 1, 4154473
33, 5, 24143267
33, 4, 7939503
33, 10, 4136219
33, 7, 1748034
33, 2, 1405399
33, 8, 35075
33, 11, 795965
33, 6, 15218
33, 9, 15760222
33, 12, 4098
33, 3, 295625
33, 0, 2903773
1, 2, 3947
1, 9, 28651647
1, 6, 20248
1, 3, 1905169
1, 0, 16120
1, 10, 849325
1, 12, 22632
1, 1, 17834
1, 13, 7972043
1, 14, 3537204
1, 5, 849737
1, 8, 1342883
1, 16, 2408123
1, 7, 1341329
1, 4, 5934756
1, 11, 1907393
1, 15, 3396
5, 11, 101621
5, 3, 35607
5, 10, 465845
5, 13, 11620166
5, 8, 4919640
5, 15, 521720
5, 7, 9206623
5, 0, 1433712
5, 14, 14427
5, 16, 74059
5, 2, 3112616
5, 6, 511471
5, 4, 518644
5, 9, 1638357
5, 12, 1352761
5, 1, 1655360
5, 5, 48675646
6, 18, 25337242
6, 14, 27109449
6, 1, 9370652
6, 4, 8837208
6, 11, 2750126
6, 3, 2712966
6, 17, 2694421
6, 23, 60404526
6, 16, 109517315
6, 15, 4520601
6, 6, 82976
6, 0, 50538034
6, 19, 10399242
6, 20, 5805866
6, 25, 23245592
6, 22, 26027176
6, 5, 10041782
6, 10, 50606273
6, 21, 14432788
6, 8, 303149
6, 12, 25710480
6, 2, 395873
6, 9, 17734
6, 26, 15501035
6, 7, 13239008
6, 24, 2497360
6, 13, 2596527
14, 17, 1452128
14, 7, 1488396
14, 0, 1728497
14, 19, 9676906
14, 2, 10810726
14, 16, 9705258
14, 12, 1435095
14, 3, 4505172
14, 4, 3288857
14, 26, 12387647
14, 5, 18885111
14, 15, 1371907
14, 21, 3947
14, 10, 29164188
14, 20, 20139818
14, 9, 16801187
14, 23, 1447108
14, 11, 13507019
14, 1, 40436
14, 8, 1379842
14, 22, 68849
14, 14, 1743956
14, 24, 2210402
14, 13, 16707862
14, 6, 1434635
14, 25, 1443852
14, 18, 3158152
16, 2, 20275072
16, 8, 17639251
16, 25, 3830014
16, 1, 12160533
16, 20, 8599201
16, 6, 13302926
16, 14, 25777107
16, 10, 68138
16, 12, 10013638
16, 13, 21304817
16, 17, 34395
16, 11, 2818564
16, 7, 10469684
16, 3, 10493842
16, 18, 5535155
16, 21, 13299501
16, 4, 16161
16, 23, 3826888
16, 5, 1345357
16, 9, 5559182
16, 26, 40300536
16, 22, 16561
16, 16, 40299794
16, 0, 10002147
16, 24, 292479
16, 19, 15670824
16, 15, 11219272
2, 28, 195999
2, 5, 1282439
2, 10, 15480717
2, 1, 152236
2, 8, 1958159
2, 23, 2694051
2, 6, 73610983
2, 30, 13059719
2, 20, 62390918
2, 31, 2624730
2, 3, 7432431
2, 22, 29165220
2, 24, 4096474
2, 19, 1844925
2, 11, 5045236
2, 13, 2872995
2, 27, 317246
2, 17, 1630552
2, 2, 63759550
2, 9, 58577745
2, 0, 15277155
2, 18, 15487101
2, 14, 4353406
2, 29, 9616823
2, 32, 26896849
2, 12, 15266845
2, 21, 28728951
2, 25, 4186624
2, 26, 7368700
2, 4, 15557741
2, 16, 2520214
2, 7, 429527
2, 15, 42326993
9, 13, 237573350
9, 20, 191028
9, 30, 58168557
9, 46, 121394653
9, 8, 10580623
9, 9, 375760495
9, 6, 158958
9, 34, 11679417
9, 32, 62373255
9, 7, 1364463
9, 10, 4454165
9, 44, 1680817
9, 0, 128243518
9, 43, 1318177027
9, 42, 162078558
9, 28, 72919564
9, 39, 51037794
9, 41, 128358213
9, 2, 16461
9, 24, 54459951
9, 15, 56973543
9, 40, 26108448
9, 36, 54596347
9, 11, 3146461
9, 1, 97644
9, 4, 179647038
9, 17, 1510688
9, 19, 16111
9, 31, 2661208
9, 27, 39793745
9, 35, 85348769
9, 37, 12821894
9, 25, 30049582
9, 5, 25181207
9, 12, 467098534
9, 23, 19464069
9, 16, 1648486
9, 14, 8789729
9, 3, 11872639
9, 26, 5487889
9, 45, 127052300
9, 33, 368364973
9, 38, 121201560
9, 22, 74176295
9, 29, 24451245
9, 21, 11356260
9, 18, 90525652
15, 27, 13594015
15, 44, 98473099
15, 15, 12649729
15, 58, 15816988
15, 59, 15196173
15, 61, 14240829
15, 64, 35066685
15, 67, 22402968
15, 47, 49187268
15, 49, 23721525
15, 35, 153129580
15, 60, 102343860
15, 71, 327365
15, 43, 59820881
15, 16, 19036857
15, 23, 5214946
15, 51, 38187537
15, 46, 28002687
15, 1, 91912949
15, 57, 2022879
15, 6, 43771996
15, 9, 10522535
15, 19, 12760548
15, 26, 11453222
15, 55, 3771435
15, 14, 41995289
15, 52, 12740421
15, 8, 17934
15, 73, 72349373
15, 3, 3491637
15, 10, 214571195
15, 63, 46718151
15, 40, 21648551
15, 4, 12319752
15, 34, 60839613
15, 33, 13759584
15, 62, 38164794
15, 22, 62306841
15, 54, 118739085
15, 11, 12232595
15, 37, 75220566
15, 69, 73348680
15, 7, 19166530
15, 66, 2001378
15, 38, 72213998
15, 39, 33148100
15, 0, 27074625
15, 29, 7514243
15, 32, 1793288
15, 30, 35733608
15, 70, 17098526
15, 72, 31730560
15, 17, 19818
15, 12, 5318399
15, 50, 88294632
15, 42, 24827163
15, 24, 11359275
15, 56, 148093662
15, 36, 14772436
15, 21, 12169267
15, 2, 4052061
15, 68, 31535683
15, 5, 61424844
15, 13, 32171516
15, 48, 23508996
15, 41, 24333325
15, 18, 113181557
15, 28, 29787108
15, 65, 168024316
15, 31, 12200385
15, 20, 82466246
15, 53, 52488
15, 25, 137526153
15, 45, 16632721
26, 45, 6858733
26, 38, 48242522
26, 8, 62953233
26, 40, 1697719
26, 61, 39262336
26, 14, 48292276
26, 71, 4174652
26, 31, 15208355
26, 42, 19892945
26, 75, 32405917
26, 66, 16544285
26, 79, 86304484
26, 28, 151449985
26, 60, 4747747
26, 62, 16356863
26, 53, 22552530
26, 73, 120837
26, 20, 18547608
26, 43, 22443476
26, 13, 61195121
26, 55, 18321012
26, 22, 34192833
26, 59, 1898325
26, 3, 1613070
26, 36, 22264920
26, 5, 1646883
26, 16, 5916963
26, 1, 2178381
26, 64, 55152783
26, 94, 19404026
26, 35, 18922802
26, 68, 19843913
26, 39, 3771553
26, 100, 104867450
26, 32, 18794982
26, 2, 129169988
26, 29, 4744431
26, 58, 34834729
26, 24, 23563227
26, 30, 21089
26, 46, 4972340
26, 0, 109599599
26, 80, 4188186
26, 9, 51891818
26, 52, 99593504
26, 33, 29249277
26, 82, 138408310
26, 47, 3757628
26, 87, 7545223
26, 49, 838745
26, 23, 18334
26, 50, 54310419
26, 86, 16524800
26, 98, 22893
26, 92, 11391696
26, 97, 27299026
26, 84, 61732170
26, 77, 32161027
26, 83, 4768948
26, 18, 38314035
