Netid, Fid, FF_LPA
7, 2, 2031299
7, 1, 630082
7, 3, 391564
7, 0, 578094
21, 3, 827932
21, 4, 353743
21, 2, 391545
21, 1, 347642
21, 5, 758902
21, 0, 259026
11, 6, 669245
11, 0, 526006
11, 4, 530945
11, 7, 1073944
11, 2, 315852
11, 5, 1078893
11, 8, 309330
11, 3, 958527
11, 1, 793929
20, 9, 1310107
20, 12, 1550828
20, 1, 3248931
20, 0, 526508
20, 10, 504396
20, 4, 1189250
20, 5, 3579412
20, 7, 197200
20, 11, 2480221
20, 2, 1122073
20, 3, 1228574
20, 6, 998872
20, 8, 510667
23, 12, 3263739
23, 0, 251141
23, 1, 1478542
23, 6, 582762
23, 7, 1217693
23, 8, 1122565
23, 2, 1473853
23, 4, 3058244
23, 10, 1600591
23, 11, 346520
23, 3, 233017
23, 9, 321603
23, 5, 1470918
33, 4, 2272500
33, 0, 9343799
33, 11, 1491335
33, 8, 1533405
33, 5, 9316839
33, 1, 757931
33, 6, 226685
33, 9, 9757905
33, 7, 1510933
33, 12, 1687905
33, 10, 732002
33, 3, 553758
33, 2, 652052
1, 10, 3470578
1, 15, 414948
1, 5, 3415834
1, 0, 241042
1, 2, 162925
1, 13, 1578289
1, 7, 423424
1, 9, 30624520
1, 8, 454863
1, 14, 22067354
1, 12, 380323
1, 4, 4205115
1, 6, 358873
1, 16, 3640204
1, 1, 314639
1, 3, 17531240
1, 11, 16288019
5, 7, 15188527
5, 14, 209273
5, 15, 496090
5, 11, 4503013
5, 5, 33979640
5, 13, 6199062
5, 4, 14587791
5, 1, 658906
5, 9, 2750877
5, 12, 315752
5, 2, 599915
5, 8, 31347734
5, 10, 2359814
5, 16, 1485265
5, 3, 2258934
5, 6, 483517
5, 0, 1938995
6, 18, 13787040
6, 26, 11652908
6, 12, 13035772
6, 15, 8204644
6, 20, 10966312
6, 21, 26476241
6, 22, 66374398
6, 16, 213054550
6, 10, 191322955
6, 4, 3523236
6, 11, 11853715
6, 9, 251231
6, 13, 5406937
6, 24, 22609171
6, 23, 120887845
6, 25, 84291179
6, 17, 11472069
6, 0, 191782868
6, 8, 1305277
6, 5, 24302717
6, 6, 1352125
6, 14, 131930821
6, 1, 6335849
6, 2, 4396533
6, 7, 70931853
6, 19, 34241060
6, 3, 10533700
14, 5, 15910200
14, 25, 2142227
14, 12, 2282800
14, 15, 1953332
14, 6, 2088316
14, 11, 3875325
14, 22, 2159889
14, 17, 2076874
14, 10, 7648730
14, 13, 15655833
14, 20, 11079232
14, 18, 3538754
14, 9, 15499691
14, 16, 3976847
14, 7, 3182807
14, 3, 13964723
14, 2, 1979572
14, 4, 6568746
14, 8, 4748362
14, 19, 3972688
14, 1, 2183594
14, 21, 3007940
14, 23, 2095900
14, 26, 11843557
14, 0, 4975649
14, 14, 4941535
14, 24, 25426202
16, 14, 13368146
16, 2, 14349844
16, 3, 4930413
16, 20, 5165364
16, 15, 27564902
16, 13, 14482183
16, 6, 4805090
16, 22, 231565
16, 9, 3982617
16, 1, 4844323
16, 19, 43555253
16, 7, 3052403
16, 8, 18834604
16, 16, 17524456
