Netid, Fid, LB_FF
1, 7, 0.9315430915554366
1, 12, 0.8265598436539354
1, 10, 1.6126418638117344
1, 4, 2.1531471876198074
1, 15, 0.6633280045467382
1, 1, 0.8265598436539354
1, 2, 0.8752064461240441
1, 16, 1.8608058676737447
1, 5, 1.6126418638117344
1, 11, 1.1237108128046744
1, 6, 0.8950383449855422
1, 14, 2.161325047636203
1, 9, 3.0139024743621183
1, 13, 2.028903092314889
1, 3, 1.1237108128046744
1, 8, 0.9315430915554366
1, 0, 0.6412560042556942
2, 13, 2.274246691538492
2, 29, 3.1536760312466283
2, 21, 2.835674035056333
2, 12, 3.4014642350843616
2, 16, 1.6760391992649946
2, 0, 3.4014642350843616
2, 24, 3.5912979543414774
2, 26, 3.4279423058101344
2, 27, 1.171999061705013
2, 2, 4.792251038636062
2, 32, 4.043573635858239
2, 25, 3.039803091092974
2, 11, 2.355906928747589
2, 23, 2.2361619966768633
2, 1, 1.00233367563801
2, 8, 2.7479362897293953
2, 17, 2.1847710812482015
2, 19, 1.7614879343409688
2, 31, 1.5385542836200652
2, 28, 1.3072028827477529
2, 9, 3.6656990863294476
2, 22, 4.112407382171948
2, 30, 2.1048839849905088
2, 3, 3.4279423058101344
2, 14, 2.334850409008864
2, 7, 1.4436085458465608
2, 5, 1.5349980512776475
2, 10, 2.59873034694186
2, 6, 4.204492971138161
2, 18, 2.59873034694186
2, 4, 3.2550747375144966
2, 15, 4.22298503012934
2, 20, 5.126738775352234
3, 173, 5.663946478522962
3, 69, 5.241411156331849
3, 184, 7.5902325475750985
3, 47, 8.153893021829568
3, 43, 6.441268996864795
3, 133, 9.001671067757018
3, 163, 0.7331811381801726
3, 77, 3.254701757050624
3, 25, 6.66810711153582
3, 87, 11.576715811881845
3, 177, 2.5422597021272773
3, 27, 5.314934567619091
3, 2, 1.4455154930847136
3, 23, 5.423247446197748
3, 182, 7.388540530736485
3, 152, 0.8686326538585614
3, 180, 5.91194096495223
3, 112, 7.153894857117211
3, 135, 18.108145009617296
3, 19, 5.663946478522962
3, 160, 2.6080119010200287
3, 68, 6.3324048156744315
3, 124, 7.987805275647732
3, 30, 5.5884150264796375
3, 210, 6.4583085944293614
3, 157, 5.29986564064195
3, 61, 11.416563621615252
3, 90, 8.161171221510475
3, 80, 7.79297116338109
3, 46, 5.774280301855138
3, 138, 11.95885508345753
3, 153, 2.6112939513007607
3, 5, 16.736599157196284
3, 142, 4.349638209702607
3, 38, 12.676943043721518
3, 193, 15.604641456114775
3, 106, 8.055695190384212
3, 178, 5.183622950380568
3, 223, 2.6820240143597576
3, 183, 4.530443958234487
3, 65, 18.853892272833885
3, 141, 7.452852189393099
3, 113, 12.413261137193436
3, 119, 8.055695190384212
3, 229, 4.240408932351055
3, 194, 6.441268996864795
3, 110, 8.171417270190352
3, 145, 4.32810785325998
3, 155, 4.503282494449805
3, 118, 3.2828520747080607
3, 208, 9.482832172527878
3, 146, 12.11439209348714
3, 18, 9.453382800880563
3, 195, 2.578510842165147
3, 115, 8.606826138666978
3, 26, 10.108490786314638
3, 227, 13.83219108790716
3, 120, 9.856026701077349
3, 225, 4.605994034407943
3, 57, 14.458922733662835
3, 220, 4.428735148393529
3, 188, 10.79094766416434
3, 168, 7.978339865271457
3, 20, 11.715431454242443
3, 156, 7.16754951993831
3, 104, 9.245834431192652
3, 59, 4.040912777728121
3, 4, 8.701476117316982
3, 186, 4.815619641636832
3, 107, 8.385800439709737
3, 171, 0.836616380783526
3, 147, 1.4165070349472662
3, 122, 11.310747095027427
3, 216, 1.9848644942544214
3, 39, 9.972804954386984
3, 203, 7.080949938188967
3, 52, 15.640739184403698
3, 170, 3.4762127466552495
3, 217, 11.333616950107047
3, 161, 14.13713442327261
3, 134, 18.27886846364524
3, 131, 18.66857789517812
3, 31, 4.19990057843806
3, 136, 20.030663996033347
3, 24, 7.497176942170605
3, 175, 13.199384136204769
3, 198, 3.181749317886739
3, 21, 0.836616380783526
3, 111, 13.014680300572948
3, 176, 12.398684337823884
3, 49, 0.9024131860018872
3, 64, 11.416563621615252
3, 144, 5.774280301855138
3, 42, 17.582678419065367
3, 121, 9.430113624491357
3, 219, 9.430113624491357
3, 62, 0.9426117930166457
3, 48, 15.575383991545145
3, 16, 7.569880285829568
3, 0, 5.98312155092886
3, 98, 21.623024861826522
3, 151, 4.455029973882607
3, 7, 0.9049292697065677
3, 88, 4.934016819923038
3, 192, 4.349638209702607
3, 13, 5.309343942903586
3, 169, 14.210727641481418
3, 215, 9.868529567310537
3, 1, 9.558955518400928
3, 108, 6.023371418501364
3, 197, 12.275506438067536
3, 51, 5.50664418752187
3, 56, 4.653667518583103
3, 36, 7.470731227784804
3, 159, 5.29986564064195
3, 109, 9.168329536425656
3, 167, 9.010658069124386
3, 105, 3.241965436131636
3, 6, 6.25759800823832
3, 130, 11.333616950107047
3, 72, 4.968156252169446
3, 137, 7.372494988709554
3, 29, 11.28820194009354
3, 82, 7.978339865271457
3, 204, 14.370966985851403
3, 28, 3.595338236492635
3, 60, 7.102471356920552
3, 148, 6.437447737344337
3, 132, 15.856866885743951
3, 22, 10.439084981815451
3, 189, 7.550137374609628
3, 32, 5.908702304118506
3, 12, 5.062290725196339
3, 191, 11.95885508345753
3, 15, 7.346051148444518
3, 201, 4.519589794808413
3, 218, 4.990454318512221
3, 100, 1.9027225869223896
3, 116, 6.434450485428737
3, 95, 16.689588055647214
3, 226, 3.294917012511109
3, 86, 14.405191764027062
3, 81, 7.689550278739599
3, 3, 7.434559676413279
3, 78, 5.923889563782411
3, 67, 5.940111647923015
3, 41, 8.208864454160459
3, 200, 14.378542372107788
