Netid, Fid, LUDB_FF
1, 7, 47785807
1, 12, 5227703
1, 10, 43625694
1, 4, 99716989
1, 15, 129943
1, 1, 5665152
1, 2, 75020
1, 16, 44111764
1, 5, 33684000
1, 11, 56574641
1, 6, 4281130
1, 14, 69600342
1, 9, 450417985
1, 13, 130373434
1, 3, 55243084
1, 8, 23585743
1, 0, 4274007
2, 5, 36339703
2, 14, 163952297
2, 7, 45495184
2, 25, 204917004
2, 4, 454515239
2, 1, 40345417
2, 15, 853698945
2, 32, 698439584
2, 9, 819411083
2, 27, 15685163
2, 19, 55726881
2, 13, 71698911
2, 2, 1769109110
2, 20, 1712141286
2, 3, 276096712
2, 12, 522479403
2, 0, 500563789
2, 29, 155434270
2, 11, 136110551
2, 23, 215968858
2, 6, 383771075
2, 10, 322639851
2, 30, 243338567
2, 16, 109655375
2, 31, 111961253
2, 28, 54298455
2, 26, 306377126
2, 22, 749630808
2, 17, 67244277
2, 21, 569168164
2, 18, 258257704
2, 24, 192551412
2, 8, 87197031
3, 199, 2974549246
3, 82, 20211350078
3, 92, 19511969357
3, 25, 2936362786
3, 46, 4229972380
3, 184, 21384483657
3, 99, 28951569567
3, 32, 3953161340
3, 47, 7702255318
3, 66, 6000687683
3, 91, 4797262475
3, 120, 58777296787
3, 214, 10176925598
3, 43, 5837951845
3, 72, 724227115
3, 208, 57022803394
3, 5, 150322563047
3, 201, 1851300955
3, 149, 125422626217
3, 190, 4060878203
3, 222, 12265806475
3, 126, 3289670425
3, 106, 23333609052
3, 110, 17292172103
3, 96, 73856535379
3, 121, 14222542712
3, 11, 3788852897
3, 104, 15698300858
3, 112, 8445349165
3, 193, 243994003220
3, 52, 146754822723
3, 81, 30062019498
3, 151, 1548723829
3, 209, 6443150106
3, 61, 64814745256
3, 93, 6374077987
3, 215, 16231071873
3, 56, 2204588968
3, 86, 129498394134
3, 41, 13489232159
3, 16, 8690591510
3, 207, 3345475603
3, 160, 2812021419
3, 148, 4503240001
3, 10, 2648046271
3, 157, 1650087901
3, 59, 1134461595
3, 84, 145860996
3, 54, 13237428213
3, 226, 953413422
3, 203, 3221341932
3, 97, 128939672719
3, 102, 19405759241
3, 71, 47170065
3, 26, 43834820985
3, 165, 5016557
3, 75, 13183143329
3, 55, 6319659324
3, 105, 303343181
3, 213, 15947559993
3, 144, 3886890035
3, 18, 95967748310
3, 35, 10055747
3, 171, 10767320
3, 192, 3668130517
3, 125, 531151422
3, 7, 3927257
3, 65, 239533290565
3, 101, 6158577342
3, 70, 17646687439
3, 220, 1313108311
3, 175, 181816526941
3, 100, 205346511
3, 6, 19482021024
3, 191, 61881174385
3, 180, 13962584565
3, 111, 33458731527
3, 89, 2263606968
3, 228, 14298194852
3, 137, 14385333952
3, 95, 99315484664
3, 162, 99449144551
3, 163, 12136886
3, 115, 15978784032
3, 83, 244891850429
3, 119, 21551720045
3, 216, 657614909
3, 76, 236630527
3, 211, 10083219
3, 147, 56880997
3, 204, 128830647222
3, 38, 65549316939
3, 68, 8139765417
3, 168, 19951155994
3, 50, 84747853999
3, 117, 23277093488
3, 3, 13673178839
3, 229, 1310652614
3, 130, 23617039750
3, 12, 1884693783
3, 131, 193905932123
3, 182, 5395879807
3, 13, 2918109979
3, 225, 3194807225
3, 15, 13719029102
3, 48, 148713082903
3, 166, 3298833210
3, 186, 3327642037
3, 227, 123235277463
3, 1, 12839927668
3, 129, 4043878574
3, 79, 13916675811
3, 200, 71111274912
3, 122, 12470101653
3, 164, 6482010487
3, 28, 1224048737
3, 29, 23964406574
3, 8, 1271670016
3, 107, 37121610124
3, 167, 19143801817
3, 135, 195712740884
3, 90, 20966315704
3, 85, 100900349898
3, 69, 2649675494
3, 153, 66596987
3, 141, 9129706984
3, 67, 3868966777
3, 158, 69678782
3, 134, 140260150254
3, 19, 5739537211
3, 94, 86860968847
3, 142, 3425861184
3, 218, 1428731945
3, 108, 5885239139
3, 14, 29347200460
3, 30, 8296228846
3, 113, 86827267079
3, 4, 13055932096
3, 143, 11762200490
3, 159, 1786940858
3, 195, 162113701
3, 139, 128641363284
3, 146, 62001995141
3, 78, 6824119941
3, 45, 39495333601
3, 0, 3676587658
3, 176, 128465328826
3, 174, 23252292502
3, 23, 1522418190
3, 185, 64640388137
3, 205, 6154915882
3, 221, 3716952454
3, 138, 62051770717
3, 57, 105351548893
3, 34, 306691013
3, 172, 47314977
3, 27, 3202582300
3, 21, 8216652
3, 60, 3877922563
3, 212, 32339501412
3, 36, 5966838752
3, 145, 1592072646
3, 37, 619171894
3, 103, 2052462867
3, 24, 8039802555
3, 123, 71086945390
3, 202, 29993704936
3, 124, 5511758375
3, 140, 10163261
3, 196, 4723258
3, 223, 359041182
3, 51, 2228297695
3, 210, 5210795495
3, 217, 24041268112
3, 17, 666724385
3, 181, 194772934880
3, 224, 1837505493
3, 116, 6756620176
3, 132, 105281281153
3, 155, 8652623572
3, 170, 1193264154
3, 161, 120579378702
3, 20, 95618863845
3, 118, 275939188
3, 206, 6012494173
3, 87, 62712361882
3, 33, 20676655917
3, 22, 97012384590
3, 127, 79287468
3, 156, 4408400534
3, 42, 99584420314
3, 63, 93087833634
3, 80, 10500789209
3, 219, 14204915261
3, 44, 5136936943
3, 154, 2069464454
3, 73, 8466536399
3, 183, 2955969844
3, 109, 28556108111
3, 177, 203982938
3, 31, 456952060
3, 152, 76518180
3, 136, 340792711476
3, 189, 6538032770
3, 74, 2217797512
3, 62, 4105405
3, 194, 5670329191
3, 98, 464570969087
3, 40, 3723788
3, 150, 15335167004
3, 9, 20269773273
3, 173, 4672150024
