Netid, Fid, LUDB_FF
1, 7, 30937053
1, 12, 3860722
1, 10, 30814435
1, 4, 79605636
1, 15, 0
1, 1, 4132361
1, 2, 0
1, 16, 36151621
1, 5, 27971692
1, 11, 47258720
1, 6, 3440445
1, 14, 59147671
1, 9, 390395705
1, 13, 120098029
1, 3, 50495051
1, 8, 19883297
1, 0, 3787765
2, 5, 32196514
2, 14, 149536009
2, 7, 41090483
2, 25, 189070254
2, 4, 415846842
2, 1, 36963602
2, 15, 780604761
2, 32, 650356913
2, 9, 765216805
2, 27, 14451312
2, 19, 52438703
2, 13, 67663853
2, 2, 1639567707
2, 20, 1588554805
2, 3, 261763215
2, 12, 496485917
2, 0, 474951694
2, 29, 147518687
2, 11, 129492693
2, 23, 204656978
2, 6, 364540301
2, 10, 307758498
2, 30, 231085881
2, 16, 104875301
2, 31, 107220604
2, 28, 51427317
2, 26, 291518784
2, 22, 715280548
2, 17, 64266931
2, 21, 540004630
2, 18, 245974006
2, 24, 182873030
2, 8, 83266701
3, 199, 2823133866
3, 82, 19482600422
3, 92, 18824776604
3, 25, 2831638333
3, 46, 4052135055
3, 184, 20656027662
3, 99, 27987771735
3, 32, 3814799761
3, 47, 7438914356
3, 66, 5801802449
3, 91, 4657064666
3, 120, 56732356535
3, 214, 9544113215
3, 43, 5626495676
3, 72, 701439174
3, 208, 55059061030
3, 5, 145329038793
3, 201, 1779001868
3, 149, 120973149531
3, 190, 3857409084
3, 222, 11847134933
3, 126, 3170295007
3, 106, 22581770709
3, 110, 16719786286
3, 96, 71463357969
3, 121, 13749376037
3, 11, 3644765093
3, 104, 15051558222
3, 112, 8146946173
3, 193, 234417482165
3, 52, 141708484719
3, 81, 28969416133
3, 151, 1498892635
3, 209, 6222399026
3, 61, 62671934479
3, 93, 6051873343
3, 215, 15389370091
3, 56, 2133334453
3, 86, 124682225281
3, 41, 12998057492
3, 16, 8414358156
3, 207, 3212351134
3, 160, 2704516135
3, 148, 4327644562
3, 10, 2535828226
3, 157, 1590328979
3, 59, 1096135869
3, 84, 140894662
3, 54, 12708038136
3, 226, 910825334
3, 203, 3091097065
3, 97, 124171015293
3, 102, 18716208696
3, 71, 44974423
3, 26, 42369383047
3, 165, 4816643
3, 75, 12749483217
3, 55, 6101934716
3, 105, 293664288
3, 213, 15215326196
3, 144, 3701888390
3, 18, 92575032914
3, 35, 9686035
3, 171, 10421502
3, 192, 3555068269
3, 125, 508868134
3, 7, 3751368
3, 65, 231470580391
3, 101, 5931508785
3, 70, 17058280713
3, 220, 1264998445
3, 175, 174782160940
3, 100, 197140959
3, 6, 18781795956
3, 191, 59712311963
3, 180, 13496121110
3, 111, 32357354911
3, 89, 2190843961
3, 228, 13819240592
3, 137, 13900091115
3, 95, 95966223140
3, 162, 96109850137
3, 163, 11650655
3, 115, 15452561345
3, 83, 235314054051
3, 119, 20782954618
3, 216, 632934105
3, 76, 228375800
3, 211, 9678681
3, 147, 54750829
3, 204, 124289082288
3, 38, 63373735403
3, 68, 7874841751
3, 168, 19291909842
3, 50, 81976687509
3, 117, 22497843780
3, 3, 13201636160
3, 229, 1261870094
3, 130, 22852548095
3, 12, 1782449159
3, 131, 187511907640
3, 182, 5141507986
3, 13, 2804540857
3, 225, 3082683755
3, 15, 13246601045
3, 48, 143389426296
3, 166, 3169791326
3, 186, 3212159277
3, 227, 119032644269
3, 1, 12313067802
3, 129, 3893739988
3, 79, 13440550232
3, 200, 68779314127
3, 122, 12036332164
3, 164, 6263653602
3, 28, 1175498261
3, 29, 23144102239
3, 8, 1222525038
3, 107, 35910498307
3, 167, 18469251504
3, 135, 189302862550
3, 90, 20235681234
3, 85, 97161040677
3, 69, 2537895159
3, 153, 64250713
3, 141, 8827268871
3, 67, 3696526844
3, 158, 66974657
3, 134, 135635944388
3, 19, 5553439180
3, 94, 83750560491
3, 142, 3312824817
3, 218, 1379506929
3, 108, 5613055018
3, 14, 28296322779
3, 30, 8032521201
3, 113, 83573047223
3, 4, 12577730259
3, 143, 11268253288
3, 159, 1727084104
3, 195, 156986331
3, 139, 123888777025
3, 146, 59804715192
3, 78, 6588525057
3, 45, 38162873594
3, 0, 3542179177
3, 176, 123704260116
3, 174, 22435427111
3, 23, 1462297087
3, 185, 62521675025
3, 205, 5929536763
3, 221, 3597499256
3, 138, 59884390385
3, 57, 101822834261
3, 34, 298081030
3, 172, 46113118
3, 27, 3094952762
3, 21, 7829197
3, 60, 3737827984
3, 212, 31247520905
3, 36, 5741961677
3, 145, 1542362132
3, 37, 599346870
3, 103, 1991051631
3, 24, 7759760076
3, 123, 68772328199
3, 202, 28176188994
3, 124, 5293724914
3, 140, 9659356
3, 196, 4554863
3, 223, 346405401
3, 51, 2155622755
3, 210, 5017358532
3, 217, 23271602480
3, 17, 634068634
3, 181, 188395233911
3, 224, 1767420626
3, 116, 6531733747
3, 132, 101436902256
3, 155, 8346487041
3, 170, 1145448891
3, 161, 114561077245
3, 20, 92308517267
3, 118, 266770815
3, 206, 5819059976
3, 87, 60556826098
3, 33, 19975424953
3, 22, 93635272353
3, 127, 76598659
3, 156, 4269186460
3, 42, 96233200158
3, 63, 90015571161
3, 80, 10116308993
3, 219, 13723814269
3, 44, 4948345259
3, 154, 2000767954
3, 73, 8202445393
3, 183, 2846114778
3, 109, 27304184539
3, 177, 195636266
3, 31, 435797973
3, 152, 73145405
3, 136, 329448513052
3, 189, 6209194274
3, 74, 2131564609
3, 62, 3848915
3, 194, 5453012281
3, 98, 448739777884
3, 40, 3523401
3, 150, 14797608134
3, 9, 19596324933
3, 173, 4496017508
3, 188, 44714268993
3, 77, 742276017
3, 114, 1290211000
3, 197, 117167454711
3, 2, 30075744
3, 58, 3439505494
3, 49, 34736276
3, 39, 14596406149
3, 187, 2284454335
3, 178, 2752647081
3, 88, 7193632383
3, 179, 3068942223
3, 53, 57697370
3, 198, 385323952
3, 128, 4146838608
3, 64, 63010271050
3, 169, 173372825562
3, 133, 44643479733
5, 11, 29224983
5, 16, 23510027
5, 8, 106605856
5, 7, 165968572
5, 12, 24670140
5, 0, 24837132
5, 3, 9725180
5, 9, 21586192
5, 4, 24445518
5, 14, 5158814
5, 2, 69357223
5, 6, 18759537
5, 15, 19098201
5, 10, 20436279
5, 5, 1608644442
5, 1, 28846726
5, 13, 380006279
6, 9, 4650062
6, 10, 1358261508
6, 7, 338288016
6, 11, 105966070
6, 13, 72970535
6, 6, 23783959
6, 5, 151213822
6, 1, 224232804
6, 18, 629333761
6, 16, 1994626589
6, 8, 11160088
6, 24, 59337720
6, 2, 35967565
6, 22, 797100597
6, 14, 572384327
6, 15, 108204875
6, 4, 118825524
6, 12, 1061901676
6, 21, 299913840
6, 17, 91138481
6, 23, 2738511744
6, 25, 421378630
6, 20, 112695710
6, 26, 282006798
6, 19, 158125567
6, 3, 86677137
6, 0, 1162486623
7, 0, 21347345
7, 2, 57784956
7, 3, 4801466
7, 1, 8054690
8, 27, 3299830931
8, 3, 5554097
8, 126, 19500813586
8, 15, 108260138037
8, 32, 37949346130
8, 23, 115389680261
8, 184, 32276341223
8, 135, 871854199
8, 147, 3156637051
8, 241, 13083248162
8, 229, 2681531991
8, 138, 13427664667
8, 272, 17482583654
8, 249, 56774852416
8, 224, 14587212388
8, 245, 20000675769
8, 162, 4244927304
8, 20, 45438316634
8, 205, 13777226265
8, 231, 58505939173
8, 253, 5312105753
8, 5, 10229405052
8, 76, 21251057717
8, 121, 10807583
8, 51, 166017951145
8, 68, 1882667058
8, 87, 14825473999
8, 226, 17925318887
8, 172, 187904025
8, 227, 73146362128
8, 1, 6141225804
8, 217, 5010248514
8, 190, 40034323383
8, 258, 136337763950
8, 88, 11063298113
8, 14, 10005554674
8, 270, 6501748020
8, 192, 11897496747
8, 206, 2748479385
8, 194, 6931109424
8, 57, 4036447162
8, 170, 78128679439
8, 35, 408163655
8, 134, 19471852692
8, 154, 55026447517
8, 216, 56468810928
8, 225, 10118116
8, 260, 1154152310
8, 146, 5069471873
8, 72, 1972358218
8, 54, 27323175806
8, 38, 7851802918
8, 277, 55751644530
8, 43, 77345089213
8, 182, 5211826350
8, 198, 61047773
8, 36, 26144623726
