Netid, Fid, SFA_FIFO
1, 7, 5350206
1, 12, 1204445
1, 10, 5484951
1, 4, 3388390
1, 15, 71175
1, 1, 463225
1, 2, 64512
1, 16, 3711691
1, 5, 2088815
1, 11, 3448835
1, 6, 232610
1, 14, 4471888
1, 9, 4116376
1, 13, 628718
1, 3, 2097933
1, 8, 343298
1, 0, 93366
2, 23, 3617313
2, 15, 10449679
2, 2, 3704137
2, 24, 2091491
2, 8, 1029124
2, 29, 1612206
2, 25, 2200718
2, 30, 907585
2, 32, 2943310
2, 3, 4095447
2, 1, 467573
2, 9, 1771085
2, 10, 965665
2, 14, 2726300
2, 18, 925999
2, 6, 1134463
2, 27, 150334
2, 7, 745788
2, 21, 1539689
2, 28, 540260
2, 20, 3921959
2, 11, 570648
2, 19, 811643
2, 22, 2210065
2, 26, 1901422
2, 12, 1987174
2, 4, 1783910
2, 31, 961817
2, 5, 307330
2, 13, 636622
2, 16, 545661
2, 0, 2417978
2, 17, 771187
3, 6, 67664190
3, 82, 128459019
3, 64, 247659616
3, 201, 9981113
3, 206, 41363454
3, 13, 9085983
3, 61, 127284097
3, 123, 290583098
3, 63, 129856988
3, 127, 432387
3, 133, 95446086
3, 43, 13778378
3, 103, 5197759
3, 227, 149807414
3, 56, 5223727
3, 172, 244662
3, 174, 42186901
3, 187, 8022685
3, 159, 13292770
3, 76, 1739586
3, 178, 13996478
3, 101, 6245568
3, 119, 40308803
3, 31, 1233961
3, 54, 60097484
3, 165, 42861
3, 91, 20990382
3, 167, 42822151
3, 9, 37164714
3, 205, 5988713
3, 152, 537806
3, 32, 11577969
3, 217, 41423769
3, 5, 306353128
3, 14, 35308667
3, 49, 178598
3, 7, 27482
3, 60, 11737673
3, 153, 389375
3, 45, 50283756
3, 166, 10647952
3, 24, 23380757
3, 138, 192478988
3, 139, 190391033
3, 75, 34613848
3, 134, 287912001
3, 53, 223742
3, 112, 24987622
3, 86, 188139018
3, 196, 29426
3, 145, 10280439
3, 17, 549426
3, 105, 532234
3, 218, 1759146
3, 175, 96610273
3, 113, 63674660
3, 19, 13116556
3, 99, 37790967
3, 120, 180896046
3, 38, 130806610
3, 192, 11810236
3, 16, 45534989
3, 157, 12650033
3, 169, 142436771
3, 78, 13355761
3, 170, 6805508
3, 213, 12816870
3, 148, 10863651
3, 222, 37301777
3, 15, 24669545
3, 117, 38645448
3, 179, 20794110
3, 203, 10016641
3, 220, 7351899
3, 212, 38539491
3, 77, 950081
3, 97, 189454871
3, 2, 224105
3, 68, 50836638
3, 72, 1650350
3, 225, 10876545
3, 151, 7599569
3, 10, 10875091
3, 198, 1086394
3, 194, 13182893
3, 37, 625690
3, 229, 7710135
3, 71, 302621
3, 87, 188662546
3, 27, 7738538
3, 176, 189406325
3, 214, 10024285
3, 208, 189023115
3, 41, 24507790
3, 108, 5749269
3, 94, 188889166
3, 23, 4976626
3, 128, 11738875
3, 161, 63834874
3, 1, 36612463
3, 95, 288973950
3, 100, 461405
3, 149, 189015272
3, 107, 123993971
3, 146, 188791558
3, 211, 81000
3, 90, 34466678
3, 228, 24725446
3, 73, 51848677
3, 40, 29434
3, 39, 41083628
3, 215, 36439025
3, 163, 104163
3, 109, 23513430
3, 81, 40156689
3, 20, 96833882
3, 207, 4276751
3, 224, 6044548
3, 18, 90721437
3, 219, 40078339
3, 50, 293082390
3, 28, 10722082
3, 137, 38462483
3, 8, 7635999
3, 121, 39921316
3, 84, 683448
3, 183, 19822138
3, 88, 23311045
3, 11, 14022573
3, 106, 39644775
3, 74, 6313598
3, 102, 34577237
3, 171, 198327
3, 57, 297468250
3, 193, 145118335
3, 98, 303093051
3, 136, 290319975
3, 144, 4622211
3, 110, 46979712
3, 216, 3437284
3, 21, 43631
3, 25, 4241195
3, 58, 11472384
3, 209, 11643012
3, 44, 13815852
3, 226, 1211006
3, 35, 43010
3, 12, 1733584
3, 189, 5890673
3, 51, 5042152
3, 177, 449003
3, 26, 137355483
3, 0, 4262574
3, 143, 11782992
3, 122, 41523258
3, 190, 7625662
3, 158, 338538
3, 3, 34200076
3, 34, 1174668
3, 92, 35344079
3, 89, 5955895
3, 150, 34483582
3, 185, 298379718
3, 160, 12700804
3, 22, 95414714
3, 48, 286887644
3, 47, 13884189
3, 59, 5930570
3, 42, 287246024
3, 126, 10754527
3, 141, 24598973
3, 129, 11751907
3, 33, 24096902
3, 184, 99019199
3, 52, 289198034
3, 70, 45939333
3, 67, 4508593
3, 29, 40341201
3, 199, 7773357
3, 125, 3969592
3, 118, 1286366
3, 104, 14644853
3, 132, 180407851
3, 131, 307103389
3, 168, 61113283
3, 79, 24297458
3, 4, 24097677
3, 69, 10348574
3, 195, 985458
3, 36, 12205108
3, 173, 13127491
3, 30, 46793012
3, 130, 41240193
3, 164, 13123373
3, 115, 37768103
3, 156, 11525296
3, 197, 96392030
3, 66, 34058111
3, 186, 7673242
3, 80, 12678195
3, 85, 90831106
3, 116, 12617643
3, 154, 5939135
3, 202, 12816383
3, 180, 35097078
3, 204, 190968961
3, 142, 11951269
3, 55, 14222622
3, 210, 34518811
3, 135, 290131846
3, 111, 240198103
3, 83, 144838917
3, 191, 192150246
3, 114, 1201529
3, 62, 19867
3, 200, 284867205
3, 147, 294045
3, 46, 4616684
3, 96, 137614903
3, 124, 13238318
3, 140, 95297
3, 182, 4131445
3, 188, 129328231
3, 181, 291199522
3, 223, 495890
3, 162, 289419819
3, 93, 4242481
3, 155, 28007819
3, 221, 10267949
3, 65, 287366435
5, 12, 102390
5, 11, 127146
5, 1, 77614
5, 5, 492454
5, 9, 50384
5, 7, 71793
5, 6, 60072
5, 14, 8976
5, 3, 45845
5, 8, 468068
5, 4, 81110
5, 2, 96078
5, 10, 41757
5, 0, 34905
5, 15, 57447
5, 13, 271344
5, 16, 86862
6, 18, 387228
6, 15, 189742
6, 12, 379504
6, 16, 1442526
6, 2, 142935
6, 23, 883649
6, 19, 665685
6, 1, 222223
6, 9, 23274
6, 17, 310305
6, 21, 468830
6, 7, 1230423
6, 5, 600394
6, 11, 367773
6, 13, 228965
6, 6, 90268
6, 24, 461717
6, 26, 309865
6, 20, 358936
6, 22, 753278
6, 8, 66704
6, 4, 146903
6, 3, 308943
6, 14, 1467302
6, 25, 891834
6, 0, 1486548
6, 10, 1488872
7, 1, 43721
7, 0, 58759
7, 3, 22532
7, 2, 49783
8, 192, 13941203
8, 177, 54755983
8, 155, 4968677
8, 140, 225952833
8, 29, 25562412
8, 229, 6406355
8, 169, 1854891
8, 160, 82597223
8, 143, 17024372
8, 207, 18189696
8, 99, 19619831
8, 70, 9437581
8, 14, 17075889
8, 28, 34044974
8, 147, 4893089
8, 175, 13963616
8, 9, 221430649
8, 118, 7519382
8, 247, 224795532
8, 75, 20562721
8, 36, 52157808
8, 25, 88975
8, 179, 1873756
8, 56, 19540573
8, 172, 637994
8, 107, 14152547
8, 144, 14192742
8, 235, 29775693
8, 114, 7284023
8, 127, 36379614
8, 83, 36600606
8, 66, 66733740
8, 58, 17289708
8, 103, 2538630
8, 245, 37527274
8, 60, 868331
8, 150, 16577026
8, 174, 53885824
8, 24, 36591430
8, 194, 12034970
8, 270, 25612952
8, 162, 6203240
8, 267, 35059610
8, 110, 223006200
